Index,LineLabel,Date,LatD_Beg,LongD_Beg,LatD_End,LongD_End,Length
1,E 25,17.dez,-19.58446617,-39.65494233,-19.52311617,-39.75331717,12.35250503
2,E 26,17.dez,-19.56113217,-39.77259267,-19.620147,-39.68079283,11.63449954
3,E 27,17.dez,-19.65699933,-39.70382133,-19.60214333,-39.79068717,10.94590789
4,E24,5.jan,-19.48436164,-39.73884978,-19.55175726,-39.62592853,13.99848111
5,ES 07b,8.jan,-18.81222102,-39.4052979,-18.61109742,-39.72607166,40.48745245
6,ES 01,NA,-18.42825919,-39.53250342,-18.34210228,-39.66368079,16.82237862
7,ES 02,NA,-18.37664,-39.68176072,-18.47373278,-39.53139257,19.17547331
8,ES 03,NA,-18.64609027,-39.34404882,-18.40792629,-39.69166931,45.1865215
9,ES 04,NA,-18.46677236,-39.71448342,-18.70627661,-39.33053903,48.41047466
10,ES 05,NA,-18.76460158,-39.32126479,-18.51169006,-39.72385623,50.85961667
11,ES 06,11.jan,-18.559512,-39.73070668,-18.81895127,-39.31887235,52.06073139
12,ES 08,8.jan,-18.65748631,-39.74071249,-18.91805302,-39.31993375,52.89409176
13,ES 09,8.jan,-18.96229665,-39.32900028,-18.70535351,-39.74425452,52.17730621
14,ES 10,8.jan,-18.75674673,-39.74772295,-19.00298006,-39.35001556,49.97188934
15,ES 11,8.jan,-19.03761626,-39.37796233,-18.80774693,-39.74701099,46.44674793
16,ES 12,8.jan,-18.85159166,-39.74975145,-19.07072855,-39.40642627,43.52845531
17,ES 13,5.jan,-19.10452556,-39.43625897,-18.91499237,-39.74078022,38.30288027
18,ES 14,5.jan,-18.96619515,-39.73672665,-19.14217648,-39.45690335,35.30142277
19,ES 15,5.jan,-19.18596623,-39.46864908,-19.02667872,-39.72664934,32.35956991
20,ES 16,5.jan,-19.08068307,-39.72054061,-19.23350587,-39.47601191,30.77640451
21,ES 17,5.jan,-19.29319759,-39.46265694,-19.13746778,-39.71224889,31.39016502
22,ES 18,5.jan,-19.20845965,-39.7043088,-19.35060742,-39.45444192,30.60001289
23,ES 19,5.jan,-19.39787817,-39.46059415,-19.25391664,-39.6929716,29.14863304
24,ES 20,5.jan,-19.31142261,-39.69039501,-19.43564091,-39.483607,25.69874683
25,ES 21,5.jan,-19.46581626,-39.52167761,-19.35501228,-39.69393326,21.85207955
26,ES 22,5.jan,-19.41270693,-39.71051711,-19.49590654,-39.55249283,18.96341514
27,ES 23,5.jan,-19.52513742,-39.60345447,-19.43996748,-39.71802796,15.28487957
28,ES 26,18.dez,-19.561947,-39.77274083,-19.6198145,-39.68301367,11.3834092
29,ES 27,15.dez,-19.6555715,-39.70376633,-19.60188617,-39.78963667,10.78708103
30,ES 28,15.dez,-19.6422535,-39.811996,-19.696689,-39.72331833,11.07640035
31,ES 29,15.dez,-19.73413683,-39.74961467,-19.66488383,-39.854213,13.37766993
32,ES 30,15.dez,-19.68364433,-39.90958083,-19.763274,-39.77537533,16.59399704
33,ES28,17.dez,-19.641118,-39.81166217,-19.69848817,-39.7214015,11.39469266
34,ES29,17.dez,-19.73327983,-39.74934767,-19.6637075,-39.85486517,13.47682237
35,ES30,17.dez,-19.68458567,-39.909485,-19.763923,-39.77591617,16.52028061
36,H 03,17.dez,-20.082759,-40.04122267,-20.00367717,-40.1490365,14.27897903
37,H 07,17.dez,-20.5582905,-40.39453783,-20.62235383,-40.28481417,13.451652
38,H 10,5.jan,-21.0619012,-40.42762698,-20.86182567,-40.75398979,40.51097022
39,H 11,5.jan,-20.99953246,-40.80943809,-21.21679391,-40.46174635,43.38140693
40,H 12,5.jan,-21.38789889,-40.46961637,-21.13630693,-40.86881306,49.905115
41,H 8,5.jan,-20.74821937,-40.36871837,-20.67139629,-40.49061622,15.27753499
42,H 9,5.jan,-20.79414533,-40.58378485,-20.89236799,-40.41434309,20.70633043
