DataLine,OnOff,Event,Time,Date,Latitude,Longitude,D_Lat,D_Long,DistTraveled,On_Off,LegNumb,Beaufort,SwellHt,SwellDir,Temp,WindSpeed,Course,Speed,Weather,HorizSun,VertSun,WindDir,Visibility,SightNumb,Observer,Cue,Method,Angle,Reticle,AlturaNav,NewRadDist,RadDistance,PerpDist,MMCourse,MMSpeed,SpeciesCode,Species,BestSS,HighSS,LowSS
1,,*,645,90108,S05:03.28,W035:08.15,-5.055,-35.136,0,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,8.5,,,,,,,,,,
2,,*,647,90108,S05:02.98,W035:07.98,-5.05,-35.133,0,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,8.5,,,,,,,,,,
3,.,B,648,90108,S05:02.86,W035:07.99,-5.048,-35.133,0,ON,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,8.5,,,,,,,,,,
4,.,R,648,90108,S05:02.86,W035:07.99,-5.048,-35.133,0,ON,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,8.5,,,,,,,,,,
5,.,P,648,90108,S05:02.86,W035:07.99,-5.048,-35.133,0,ON,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,8.5,,,,,,,,,,
6,.,V,648,90108,S05:02.86,W035:07.99,-5.048,-35.133,0,ON,0,6,6,170,-1,16,0,0,0,0,0,0,0,,,,,,,8.5,,,,,,,,,,
7,.,N,648,90108,S05:02.86,W035:07.99,-5.048,-35.133,0,ON,0,6,6,170,-1,16,223,10,0,0,0,0,0,,,,,,,8.5,,,,,,,,,,
8,.,W,648,90108,S05:02.86,W035:07.99,-5.048,-35.133,0,ON,0,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
9,.,t,648,90108,S05:02.86,W035:07.99,-5.048,-35.133,0,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
10,.,C,648,90108,S05:02.91,W035:08.02,-5.049,-35.134,0.058,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
11,.,*,649,90108,S05:02.99,W035:08.11,-5.05,-35.135,0.12,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
12,.,*,651,90108,S05:03.22,W035:08.36,-5.054,-35.139,0.339,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
13,.,*,653,90108,S05:03.43,W035:08.63,-5.057,-35.144,0.341,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
14,.,*,655,90108,S05:03.67,W035:08.86,-5.061,-35.148,0.332,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
15,.,*,657,90108,S05:03.89,W035:09.12,-5.065,-35.152,0.34,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
16,.,*,659,90108,S05:04.12,W035:09.36,-5.069,-35.156,0.332,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
17,.,*,701,90108,S05:04.35,W035:09.61,-5.073,-35.16,0.339,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
18,.,*,703,90108,S05:04.57,W035:09.87,-5.076,-35.165,0.34,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
19,.,*,705,90108,S05:04.80,W035:10.11,-5.08,-35.168,0.332,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
20,.,*,707,90108,S05:05.02,W035:10.37,-5.084,-35.173,0.34,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
21,.,*,709,90108,S05:05.26,W035:10.61,-5.088,-35.177,0.339,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
22,.,*,711,90108,S05:05.48,W035:10.86,-5.091,-35.181,0.332,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
23,.,*,713,90108,S05:05.70,W035:11.11,-5.095,-35.185,0.332,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
24,.,*,715,90108,S05:05.95,W035:11.33,-5.099,-35.189,0.333,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
28,.,S,716,90108,S05:06.10,W035:11.50,-5.102,-35.192,0.226,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,1,14,6,1,294,8,8.5,0.205481698,6,0.187716872,-1,-1,76,Megaptera novaeangliae,1,1,1
31,.,*,717,90108,S05:06.17,W035:11.59,-5.103,-35.193,0.114,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
32,.,*,719,90108,S05:06.38,W035:11.85,-5.106,-35.197,0.334,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
33,.,*,721,90108,S05:06.61,W035:12.09,-5.11,-35.201,0.332,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
34,.,*,723,90108,S05:06.84,W035:12.34,-5.114,-35.206,0.339,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
35,.,*,725,90108,S05:07.07,W035:12.58,-5.118,-35.21,0.332,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
36,.,*,727,90108,S05:07.29,W035:12.83,-5.122,-35.214,0.332,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
37,.,*,729,90108,S05:07.52,W035:13.08,-5.125,-35.218,0.339,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
38,.,*,731,90108,S05:07.74,W035:13.33,-5.129,-35.222,0.333,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
39,.,*,733,90108,S05:07.97,W035:13.58,-5.133,-35.226,0.339,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
40,.,P,735,90108,S05:08.14,W035:13.77,-5.136,-35.229,0.255,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
41,.,V,735,90108,S05:08.14,W035:13.77,-5.136,-35.229,0,ON,1,6,6,170,-1,16,223,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
42,.,N,735,90108,S05:08.14,W035:13.77,-5.136,-35.229,0,ON,1,6,6,170,-1,16,221,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
43,.,W,735,90108,S05:08.14,W035:13.77,-5.136,-35.229,0,ON,1,6,6,170,-1,16,221,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
44,.,*,735,90108,S05:08.19,W035:13.82,-5.136,-35.23,0.071,ON,1,6,6,170,-1,16,221,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
45,.,*,737,90108,S05:08.42,W035:14.07,-5.14,-35.235,0.339,ON,1,6,6,170,-1,16,221,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
46,.,*,739,90108,S05:08.64,W035:14.32,-5.144,-35.239,0.332,ON,1,6,6,170,-1,16,221,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
47,.,*,741,90108,S05:08.87,W035:14.57,-5.148,-35.243,0.339,ON,1,6,6,170,-1,16,221,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
48,.,*,743,90108,S05:09.10,W035:14.83,-5.152,-35.247,0.347,ON,1,6,6,170,-1,16,221,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
49,.,*,745,90108,S05:09.32,W035:15.07,-5.155,-35.251,0.325,ON,1,6,6,170,-1,16,221,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
50,.,*,747,90108,S05:09.55,W035:15.31,-5.159,-35.255,0.332,ON,1,6,6,170,-1,16,221,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
51,.,*,749,90108,S05:09.78,W035:15.56,-5.163,-35.259,0.339,ON,1,6,6,170,-1,16,221,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
52,,,,,,,0,0,0,OFF,1,6,6,170,-1,16,221,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
53,.,*,751,90108,S05:10.00,W035:15.81,-5.167,-35.264,******,ON,1,6,6,170,-1,16,221,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
57,.,S,752,90108,S05:10.09,W035:15.90,-5.168,-35.265,0.127,ON,1,6,6,170,-1,16,221,10,1,7,10,112,-1,2,11,3,1,300,15,8.5,0.111692569,6,0.096728603,-1,-1,77,unid. dolphin,1,1,1
60,.,*,753,90108,S05:10.22,W035:16.06,-5.17,-35.268,0.206,ON,1,6,6,170,-1,16,221,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
61,.,*,755,90108,S05:10.45,W035:16.30,-5.174,-35.272,0.332,ON,1,6,6,170,-1,16,221,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
62,.,*,757,90108,S05:10.67,W035:16.55,-5.178,-35.276,0.332,ON,1,6,6,170,-1,16,221,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
63,.,*,759,90108,S05:10.90,W035:16.80,-5.182,-35.28,0.339,ON,1,6,6,170,-1,16,221,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
64,.,*,801,90108,S05:11.12,W035:17.04,-5.185,-35.284,0.325,ON,1,6,6,170,-1,16,221,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
65,.,*,803,90108,S05:11.34,W035:17.29,-5.189,-35.288,0.332,ON,1,6,6,170,-1,16,221,10,1,7,10,112,-1,,,,,,,8.5,,,,,,,,,,
